Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Finance & Quantitative Modeling for Analysts Specialization,Business,Finance,"Financial Modeling, Corporate Finance, Microsoft Excel, Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Linear Programming (LP), Solver, Discounted Cash Flow, Decision-Making,",4.5,2412.0,Coursera,,
Machine Learning Engineering for Production (MLOps) Specialization,Data Science,Machine Learning,"Managing Machine Learning Production Systems, Deployment Pipelines, Model Pipelines, Data Pipelines, Machine Learning Engineering for Production, Human-level Performance (HLP), Concept Drift, Model baseline, Project Scoping and Design, ML Deployment Challenges, ML Metadata, Convolutional Neural Network,",4.7,2780.0,Coursera,,
Business and Financial Modeling Specialization,Business,Business Essentials,"Financial Modeling, Microsoft Excel, Simulation, Linear Programming (LP), Modeling, Linear Regression, Probabilistic Models, Regression Analysis, Monte Carlo Method, Solver, Risk, Cash Flow,",4.5,7555.0,Coursera,,
Business Analytics Specialization,Data Science,Data Analysis,"Customer Analytics, Analytics, Business Analytics, Decision Tree, Predictive Analytics, Regression Analysis, Marketing Performance Measurement And Management, Simulation, Mathematical Optimization, Solver, Talent Management, Performance Management,",4.6,15725.0,Coursera,,
Excel Skills for Business Specialization,Business,Business Essentials,"Data Validation, Microsoft Excel, Microsoft Excel Macro, Pivot Table, Graphs, Spreadsheet, Chart, Concatenation, Consolization, Pivot Chart, Lookup Table, Microsoft Excel Vba,",4.9,42571.0,Coursera,,
Learn SQL Basics for Data Science Specialization,Data Science,Data Analysis,"Data Analysis, Apache Spark, Delta Lake, SQL, Data Science, Sqlite, A/B Testing, Query String, Predictive Analytics, Presentation Skills, creating metrics, Exploratory Data Analysis,",4.5,8649.0,Coursera,,
The Materiality of ESG Factors Specialization,Business,Finance,"ESG, Investment, Climate Change, Finance, social activism,",4.7,643.0,Coursera,,
AI For Business Specialization,Business,Leadership and Management,"Artificial Intelligence (AI), Machine Learning, Management, Analytics, Fraud Prevention,",4.7,169.0,Coursera,,
Digital Product Management Specialization,Computer Science,Design and Product,"hypothesis-driven development, Product Management, Design Thinking, agile, Lean Startup, Product/Market Fit, Innovation Pipeline, agile user stories, User Experience Design (UXD), Agile Software Development, Software Development, Usability Testing,",4.8,2681.0,Coursera,,
Leading the Modern Day Business Specialization,Business,Leadership and Management,"Marketing, Business Strategy, Leadership And Management, Storytelling, Innovation, Technology Disruption, Digital Trends, Competitive Lifecycle, Digital Strategy, Strategic Management, Strategic Thinking, Design Thinking,",4.7,2699.0,Coursera,,
Graphic Design Specialization,Arts and Humanities,Music and Art,"Visual Communication, Branding Communication, Graphic Design, Art History, Typography, Creativity, Graphics, Design Theory, Color Theory, Adobe Illustrator, History, Adobe Indesign,",4.7,15224.0,Coursera,,
Security Analyst Fundamentals Specialization,Information Technology,Security,"threat intelligence, Digital Forensics, Data Breach, cybersecurity analyst, Computer Security Incident Management, scripting, forensics, Penetration Test, Cybersecurity, Application Security, network defensive tactics, security analyst,",4.8,749.0,Coursera,,
Improve Your English Communication Skills Specialization,Language Learning,Learning English,"Professional, Email Writing, Presentation, Writing, Communication, Stress, Public Speaking, Speech,",4.8,15297.0,Coursera,,
Entrepreneurship Specialization,Business,Entrepreneurship,"Growth Strategies, Exit Strategy, Finance, Entrepreneurship, Discovery-Driven Planning, Elevator Pitch, Planning, Brand Management, Choosing Advisors, Brand, Strategic Management, Marketing,",4.8,4764.0,Coursera,,
Foundations of Positive Psychology  Specialization,Business,Business Essentials,"Gratitude, goal setting, Research Methodology, Resilience, Character Strengths And Virtues, Positive Education, Positive Psychology, Savoring, Plan, Communication, Mindfulness, Flourishing,",4.8,6479.0,Coursera,,
Data Science Specialization,Data Science,Data Analysis,"Github, Machine Learning, R Programming, Regression Analysis, Data Science, Rstudio, Data Analysis, Debugging, Data Manipulation, Regular Expression (REGEX), Data Cleansing, Cluster Analysis,",4.5,38510.0,Coursera,,
