Title,Category,Sub-Category,Skills,Rating,Number of viewers,Site,Level,Price
Everyday Parenting: The ABCs of Child Rearing,Health,Psychology,,4.9,2656.0,Coursera,,
Introduction to Electronics,Physical Science and Engineering,Electrical Engineering,,4.7,2398.0,Coursera,,
AI For Everyone （すべての人のためのAIリテラシー講座）,Business,Business Strategy,,4.8,224.0,Coursera,,
Economics of Money and Banking,Social Sciences,Economics,,4.9,1457.0,Coursera,,
Introduction to Scrum Master Training,Computer Science,Design and Product,,4.7,1399.0,Coursera,,
Kotlin for Java Developers,Computer Science,Software Development,,4.7,1924.0,Coursera,,
Site Reliability Engineering: Measuring and Managing Reliability,Information Technology,Cloud Computing,,4.5,825.0,Coursera,,
Electric Industry Operations and Markets,Physical Science and Engineering,Environmental Science and Sustainability,,4.8,1117.0,Coursera,,
Moral Foundations of Politics,Social Sciences,Governance and Society,,4.9,5377.0,Coursera,,
Principles of Sustainable Finance,Business,Finance,,4.7,1382.0,Coursera,,
Cybersecurity Compliance Framework & System Administration,Information Technology,Security,,4.7,2882.0,Coursera,,
Spanish for Successful Communication in Healthcare Settings,Health,Patient Care,,4.8,257.0,Coursera,,
Nuts and Bolts of U.S. Immigration Law,Social Sciences,Law,,4.9,69.0,Coursera,,
Introduction to Philosophy,Arts and Humanities,Philosophy,,4.7,8796.0,Coursera,,
"FinTech: Foundations, Payments, and Regulations",Business,Business Essentials,,4.6,2269.0,Coursera,,
"The Sustainable Development Goals – A global, transdisciplinary vision for the future",Social Sciences,Governance and Society,,4.8,4165.0,Coursera,,
American Contract Law I,Social Sciences,Law,,4.9,820.0,Coursera,,
Gender and Sexuality: Diversity and Inclusion in the Workplace,Health,Psychology,,4.7,894.0,Coursera,,
Weight Management: Beyond Balancing Calories,Health,Nutrition,,4.7,1042.0,Coursera,,
Understanding Einstein: The Special Theory of Relativity,Physical Science and Engineering,Physics and Astronomy,,4.9,2879.0,Coursera,,
Understanding Research Methods,Physical Science and Engineering,Research Methods,,4.6,6674.0,Coursera,,
Fundamentals of Engineering Exam Review,Physical Science and Engineering,Mechanical Engineering,,4.7,596.0,Coursera,,
Introduction to Engineering Mechanics,Physical Science and Engineering,Mechanical Engineering,,4.8,4656.0,Coursera,,
Getting Started with Go,Computer Science,Software Development,,4.6,2118.0,Coursera,,
Leading Diverse Teams & Organizations,Business,Leadership and Management,,4.8,227.0,Coursera,,
Corporate Sustainability. Understanding and Seizing the Strategic Opportunity,Business,Business Strategy,,4.6,707.0,Coursera,,
Industrial Biotechnology,Health,Basic Science,,4.7,2905.0,Coursera,,
Suicide Prevention,Personal Development,Personal Development,,4.6,102.0,Coursera,,
FinTech Law and Policy,Business,Finance,,4.8,787.0,Coursera,,
U.S. Taxation of International Transactions,Business,Business Essentials,,4.5,10.0,Coursera,,
Introduction to Sustainability,Physical Science and Engineering,Environmental Science and Sustainability,,4.8,2455.0,Coursera,,
International Security Management,Social Sciences,Governance and Society,,4.7,950.0,Coursera,,
Introduction to Chemistry:  Reactions and Ratios,Physical Science and Engineering,Chemistry,,4.7,1124.0,Coursera,,
Strategy and Sustainability,Business,Business Strategy,,4.7,434.0,Coursera,,
Python Basics,Computer Science,Software Development,,4.8,16316.0,Coursera,,
L'excellence opérationnelle en pratique,Business,Leadership and Management,,4.7,566.0,Coursera,,
AI Applications in Marketing and Finance,Business,Finance,,4.7,70.0,Coursera,,
Reporting extra-financier et stratégie RSE,Business,Leadership and Management,,4.7,353.0,Coursera,,
Développement psychologique de l'enfant,Health,Psychology,,4.9,601.0,Coursera,,
Business Sustainability in the Circular Economy,Business,Business Essentials,,4.5,114.0,Coursera,,
Introduction to Systems Engineering,Physical Science and Engineering,Electrical Engineering,,4.7,698.0,Coursera,,
African development – from the past to the present,Social Sciences,Economics,,4.1,35.0,Coursera,,
Corporate & Commercial Law I: Contracts & Employment Law,Business,Business Essentials,,4.8,1081.0,Coursera,,
Auditing I: Conceptual Foundations of Auditing,Business,Business Essentials,,4.7,480.0,Coursera,,
"Innovation Through Design: Think, Make, Break, Repeat",Business,Entrepreneurship,,4.7,1636.0,Coursera,,
International Law in Action: the Arbitration of International Disputes,Social Sciences,Law,,4.8,1014.0,Coursera,,
Blockchain: Foundations and Use Cases,Computer Science,Computer Security and Networks,,4.7,813.0,Coursera,,
Precision Medicine,Health,Research,,4.4,175.0,Coursera,,
Introduction to Forensic Science,Health,Basic Science,,4.9,2087.0,Coursera,,
Customer Segmentation and Prospecting,Business,Business Essentials,,4.7,1082.0,Coursera,,
Fundamentals of Machine Learning for Healthcare,Data Science,Machine Learning,,4.8,280.0,Coursera,,
Introduction to English Common Law,Social Sciences,Law,,4.8,1641.0,Coursera,,
A Law Student's Toolkit,Social Sciences,Law,,4.7,1317.0,Coursera,,
Essentials of Global Health,Health,Public Health,,4.8,1855.0,Coursera,,
ESG and Climate Change,Business,Business Strategy,,4.8,179.0,Coursera,,
International Organizations Management,Business,Leadership and Management,,4.8,1675.0,Coursera,,
Ordered Data Structures,Computer Science,Software Development,,4.8,826.0,Coursera,,
Transgender Medicine for General Medical Providers,Health,Patient Care,,4.8,235.0,Coursera,,
Malware Analysis and Introduction to Assembly Language,Information Technology,Security,,4.2,15.0,Coursera,,
21st Century Energy Transition: how do we make it work?,Physical Science and Engineering,Environmental Science and Sustainability,,4.8,39.0,Coursera,,
Entrepreneurship Strategy: From Ideation to Exit,Business,Leadership and Management,,4.8,848.0,Coursera,,
Big History: Connecting Knowledge,Arts and Humanities,History,,4.8,1698.0,Coursera,,
"AI, Business & the Future of Work",Business,Business Strategy,,4.6,99.0,Coursera,,
Sports Marketing,Business,Marketing,,4.7,1094.0,Coursera,,
Curanderismo: Traditional Healing Using Plants,Arts and Humanities,History,,4.7,200.0,Coursera,,
Financial Acumen for Non-Financial Managers,Business,Business Essentials,,4.5,854.0,Coursera,,
Making Architecture,Arts and Humanities,Music and Art,,4.8,1242.0,Coursera,,
Equine Welfare and Management,Health,Animal Health,,4.9,325.0,Coursera,,
Machine Learning for All,Computer Science,Software Development,,4.7,3164.0,Coursera,,
Introduction to Quantum Information,Math and Logic,Math and Logic,,4.2,61.0,Coursera,,
Foundations for Assisting in Home Care,Health,Patient Care,,4.8,312.0,Coursera,,
Engineering Health: Introduction to Yoga and Physiology,Health,Basic Science,,4.8,455.0,Coursera,,
Queering Identities: LGBTQ+ Sexuality and Gender Identity,Social Sciences,Education,,4.8,636.0,Coursera,,
Aboriginal Worldviews and Education,Social Sciences,Education,,4.7,415.0,Coursera,,
Scrum Master Certification: Scrum Methodologies,Computer Science,Design and Product,,4.7,548.0,Coursera,,
Sustainable Fashion,Business,Business Strategy,,4.8,661.0,Coursera,,
Medical Terminology I,Health,Basic Science,,4.9,216.0,Coursera,,
Banking and Financial Institutions,Business,Finance,,4.7,100.0,Coursera,,
Introduction to Back-End Development,Computer Science,Mobile and Web Development,,4.8,1764.0,Coursera,,
Politics and Economics of International Energy,Social Sciences,Economics,,4.7,1671.0,Coursera,,
Finding Purpose and Meaning In Life: Living for What Matters Most,Personal Development,Personal Development,,4.8,2013.0,Coursera,,
Central Banks and Monetary Policy,Business,Business Essentials,,4.7,41.0,Coursera,,
Leading Healthcare Quality and Safety,Health,Healthcare Management,,4.8,1141.0,Coursera,,
"Computers, Waves, Simulations: A Practical Introduction to Numerical Methods using Python",Physical Science and Engineering,Research Methods,,4.7,320.0,Coursera,,
Introduction to Clinical Data,Data Science,Data Analysis,,4.6,205.0,Coursera,,
"The Modern World, Part Two: Global History since 1910",Arts and Humanities,History,,4.8,1469.0,Coursera,,
Word Forms and Simple Present Tense,Language Learning,Learning English,,4.9,1943.0,Coursera,,
ESG Impact: Investor Perspective,Business,Finance,,4.7,116.0,Coursera,,
"Federal Taxation I: Individuals, Employees, and Sole Proprietors",Business,Business Essentials,,4.9,569.0,Coursera,,
Machine Translation,Data Science,Machine Learning,,4.5,119.0,Coursera,,
Feminism and Social Justice,Arts and Humanities,History,,4.8,5779.0,Coursera,,
Introduction to Portfolio Construction and Analysis with Python,Business,Finance,,4.8,1295.0,Coursera,,
Introduction to Comparative Indo-European Linguistics,Language Learning,Other Languages,,4.5,46.0,Coursera,,
Linear Circuits 1: DC Analysis,Physical Science and Engineering,Electrical Engineering,,4.5,1422.0,Coursera,,
Deep Neural Networks with PyTorch,Data Science,Machine Learning,,4.4,1343.0,Coursera,,
Introduction to Economic Theories,Social Sciences,Economics,,4.5,303.0,Coursera,,
Security & Safety Challenges in a Globalized World,Social Sciences,Governance and Society,,4.8,374.0,Coursera,,
AI Strategy and Governance,Data Science,Machine Learning,,4.9,31.0,Coursera,,
The Science of Stem Cells,Health,Basic Science,,4.7,2569.0,Coursera,,
Nutrition and Lifestyle in Pregnancy,Health,Nutrition,,4.8,2852.0,Coursera,,
Introduction to Self-Driving Cars,Computer Science,Software Development,,4.7,2698.0,Coursera,,
Business Models For Sustainability,Business,Business Strategy,,4.5,13.0,Coursera,,
"Leading for Equity, Diversity and Inclusion in Higher Education",Personal Development,Personal Development,,4.7,261.0,Coursera,,
Introduction to Chemistry:  Structures and Solutions,Physical Science and Engineering,Chemistry,,4.7,464.0,Coursera,,
Building AI Powered Chatbots Without Programming,Computer Science,Design and Product,,4.8,2370.0,Coursera,,
Leading transformations: Manage change,Business,Leadership and Management,,4.7,1279.0,Coursera,,
Cyber Security Fundamentals,Computer Science,Computer Security and Networks,,4.8,81.0,Coursera,,
Diversity and Inclusion in Education,Social Sciences,Education,,4.8,131.0,Coursera,,
Teach English Now! Foundational Principles,Social Sciences,Education,,4.9,13024.0,Coursera,,
Formal Financial Accounting,Business,Business Essentials,,4.8,346.0,Coursera,,
Marketing Digital en Acción,Business,Marketing,,4.8,45.0,Coursera,,
Storytelling and influencing: Communicate with impact,Business,Leadership and Management,,4.8,1649.0,Coursera,,
Influencer Marketing Strategy,Business,Marketing,,4.4,168.0,Coursera,,
AI For Everyone,Business,Business Strategy,"Workflow of Machine Learning projects,AI terminology,AI strategy,Workflow of Data Science projects,",4.8,38101.0,Coursera,,
Supervised Machine Learning: Regression and Classification,Data Science,Machine Learning,"Regularization to Avoid Overfitting,Gradient Descent,Supervised Learning,Linear Regression,Logistic Regression for Classification,",4.9,9090.0,Coursera,,
"Foundations: Data, Data, Everywhere",Data Science,Data Analysis,"Spreadsheet,Data Cleansing,Data Analysis,Data Visualization (DataViz),SQL,",4.8,79775.0,Coursera,,
Foundations of Project Management,Business,Leadership and Management,"Organizational Culture,Career Development,Strategic Thinking,Change Management,Project Management,",4.9,62503.0,Coursera,,
Leadership Skills,Business,Leadership and Management,"Leading and managing change in organisation,Supportive communication,Leading subordinates effectively,Mindfulness,Positive Personality,",5.0,22.0,Coursera,,
Technical Support Fundamentals,Information Technology,Support and Operations,"Binary Code,Customer Support,Linux,Troubleshooting,",4.8,136391.0,Coursera,,
Foundations of User Experience (UX) Design,Computer Science,Design and Product,"User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD),",4.8,51969.0,Coursera,,
Ask Questions to Make Data-Driven Decisions,Data Science,Data Analysis,"Spreadsheet,Questioning,Decision-Making,Problem Solving,Data Analysis,",4.7,24198.0,Coursera,,
Indigenous Canada,Arts and Humanities,History,"Politics,Art,Human Rights and Allyship,History,Indigenous Studies,",4.8,21037.0,Coursera,,
Financial Markets,Business,Finance,"Behavioral Finance,Financial Markets,Finance,Behavioral Economics,",4.8,24729.0,Coursera,,
Advanced Learning Algorithms,Data Science,Machine Learning,"Artificial Neural Network,Xgboost,Tensorflow,Tree Ensembles,Advice for Model Development,",4.9,2220.0,Coursera,,
The Science of Well-Being,Personal Development,Personal Development,"Gratitude,Happiness,Meditation,Savoring,",4.9,35898.0,Coursera,,
Foundations of Digital Marketing and E-commerce,Business,Marketing,"Marketing,Customer loyalty,E-Commerce,Marketing Analytics,Customer Outreach,",4.8,10101.0,Coursera,,
Project Initiation: Starting a Successful Project,Business,Leadership and Management,"Stakeholder Management,Strategic Thinking,Business Writing,Project Management,Project Charter,",4.8,14399.0,Coursera,,
Neural Networks and Deep Learning,Data Science,Machine Learning,"Deep Learning,Artificial Neural Network,Backpropagation,Python Programming,Neural Network Architecture,",4.9,118113.0,Coursera,,
The Bits and Bytes of Computer Networking,Information Technology,Networking,"Domain Name System (DNS),Ipv4,Network Model,Troubleshooting,",4.7,43556.0,Coursera,,
Prepare Data for Exploration,Data Science,Data Analysis,"Spreadsheet,Metadata,Data Collection,Data Ethics,SQL,",4.8,14449.0,Coursera,,
Introduction to Psychology,Health,Psychology,"reasoning,Problem Solving,abstract thinking,analytical thinking,Critical Thinking,",4.9,25842.0,Coursera,,
Introduction to Cybersecurity Tools & Cyber Attacks,Information Technology,Cloud Computing,"Information Security (INFOSEC),IBM New Collar,Malware,Cybersecurity,Cyber Attacks,",4.6,13658.0,Coursera,,
What is Data Science?,Data Science,Data Analysis,"Data Science,Deep Learning,Machine Learning,Big Data,Data Mining,",4.7,62499.0,Coursera,,
Fundamentals of Project Planning and Management,Business,Business Essentials,"Risk Analysis,Project Planning,Planning,Management,Project Management,",4.7,8375.0,Coursera,,
"Start the UX Design Process: Empathize, Define, and Ideate",Computer Science,Design and Product,"User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD),",4.8,11376.0,Coursera,,
Linear Algebra for Machine Learning and Data Science,Computer Science,Algorithms,"Machine Learning,Linear Equation,Eigenvalues And Eigenvectors,Linear Algebra,Determinants,",4.4,314.0,Coursera,,
"HTML, CSS, and Javascript for Web Developers",Computer Science,Mobile and Web Development,"HTML,JavaScript,Css Frameworks,Cascading Style Sheets (CSS),",4.7,15248.0,Coursera,,
Introduction to Data Analytics,Data Science,Data Analysis,"Data Science,Spreadsheet,Microsoft Excel,Data Analysis,Data Visualization (DataViz),",4.8,10984.0,Coursera,,
Writing in the Sciences,Health,Basic Science,"Grammar,Medical Writing,Science Communication,Writing,",4.9,7624.0,Coursera,,
"Unsupervised Learning, Recommenders, Reinforcement Learning",Data Science,Machine Learning,"Collaborative Filtering,Unsupervised Learning,Recommender Systems,Reinforcement Learning,Anomaly Detection,",4.9,1099.0,Coursera,,
Process Data from Dirty to Clean,Data Science,Data Analysis,"Spreadsheet,Data Cleansing,Sample Size Determination,SQL,Data Integrity,",4.8,10846.0,Coursera,,
OKR Certification: Leadership and Goal Setting,Business,Leadership and Management,"Planning,goal setting,Business Strategy,Leadership And Management,Communication,",4.9,180.0,Coursera,,
Psychological First Aid,Health,Psychology,"Reflective Listening,Active Listening,Crisis Intervention,Psychological First Aid,",4.8,18115.0,Coursera,,
Foundations of Data Science,Data Science,Data Analysis,"Sharing Insights With Stakeholders,Effective Written Communication,Asking Effective Questions,Cross-Functional Team Dynamics,Project Management,",4.7,161.0,Coursera,,
Stanford Introduction to Food and Health,Health,Nutrition,"Health Informatics,Nutrition,Food Safety,Food Science,",4.7,28857.0,Coursera,,
Successful Negotiation: Essential Strategies and Skills,Business,Business Essentials,"Strategic Negotiations,Communication,Negotiation,Decision Tree,",4.8,18082.0,Coursera,,
Project Planning: Putting It All Together,Business,Leadership and Management,"Project Planning,Strategic Thinking,Risk Management,Task Estimation,Procurement,",4.8,8605.0,Coursera,,
Tools for Data Science,Data Science,Data Analysis,"Data Science,Github,Python Programming,Jupyter notebooks,Rstudio,",4.5,26232.0,Coursera,,
"Python for Data Science, AI & Development",Data Science,Data Analysis,"Data Science,Python Programming,Data Analysis,Pandas,Numpy,",4.6,31403.0,Coursera,,
Foundations of Business Intelligence,Data Science,Data Analysis,"Stakeholder Management,Sharing Insights With Stakeholders,Asking Effective Questions,Cross-Functional Team Dynamics,Business Processes and Requirements,",4.8,109.0,Coursera,,
Private Equity and Venture Capital,Business,Finance,"Valuation (Finance),Venture Capital,Venture Capital Financing,Private Equity,",4.8,7476.0,Coursera,,
Operating Systems and You: Becoming a Power User,Information Technology,Support and Operations,"Powershell,Linux File Systems,Linux,Command-Line Interface,",4.7,24990.0,Coursera,,
Programming for Everybody (Getting Started with Python),Computer Science,Software Development,"Python Syntax And Semantics,Basic Programming Language,Computer Programming,Python Programming,",4.8,220747.0,Coursera,,
Attract and Engage Customers with Digital Marketing,Business,Marketing,"Website Structure,Customer Awareness,Google,Search Engine Marketing,Search Engine Optimization (SEO),",4.8,2684.0,Coursera,,
Analyze Data to Answer Questions,Data Science,Data Analysis,"Spreadsheet,Data Analysis,SQL,Data Calculations,Data Aggregation,",4.6,7909.0,Coursera,,
Natural Language Processing with Classification and Vector Spaces,Data Science,Machine Learning,"Machine Translation,Word Embeddings,Locality-Sensitive Hashing,Sentiment Analysis,Vector Space Models,",4.6,3876.0,Coursera,,
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",Data Science,Machine Learning,"Tensorflow,Deep Learning,Mathematical Optimization,hyperparameter tuning,",4.9,61980.0,Coursera,,
Bookkeeping Basics,Business,Business Essentials,"Basis Of Accounting,accounting software,Accounting Cycle,Creating Financial Statements,Double-Entry Bookkeeping System,",4.6,3207.0,Coursera,,
Agile Project Management,Business,Leadership and Management,"Coaching,Influencing,Agile Management,Problem Solving,Scrum,",4.8,8385.0,Coursera,,
Agile with Atlassian Jira,Computer Science,Software Development,"Project Management,Agile Management,work management,Scrum (Software Development),",4.7,7841.0,Coursera,,
Crash Course on Python,Information Technology,Support and Operations,"Basic Python Data Structures,Fundamental Programming Concepts,Basic Python Syntax,Python Programming,Object-Oriented Programming (OOP),",4.8,30746.0,Coursera,,
Organizational Analysis,Business,Leadership and Management,"Management,Organizational Theory,Organizational Analysis,Organizational Culture,",4.6,1321.0,Coursera,,
Business Analytics with Excel: Elementary to Advanced,Business,Business Essentials,"Business Analytics,Spreadsheet,Microsoft Excel,Solver,Modeling,",4.8,33.0,Coursera,,
SQL for Data Science,Data Science,Data Analysis,"Data Science,Data Analysis,Sqlite,SQL,",4.6,14748.0,Coursera,,
"Brand Management: Aligning Business, Brand and Behaviour",Business,Entrepreneurship,"Corporate Branding,Brand Marketing,Brand Management,Brand Identity,",4.9,6596.0,Coursera,,
Introduction to Artificial Intelligence (AI),Data Science,Machine Learning,"Data Science,Deep Learning,Artificial Intelligence (AI),Jobs,Machine Learning,",4.7,10615.0,Coursera,,
Get Started with Python,Data Science,Data Analysis,"Using Comments to Enhance Code Readability,Python Programming,Jupyter Notebook,Data Visualization (DataViz),Coding,",4.8,43.0,Coursera,,
Game Theory,Social Sciences,Economics,"Game Theory,Backward Induction,Bayesian Game,Problem Solving,",4.6,4369.0,Coursera,,
System Administration and IT Infrastructure Services,Information Technology,Support and Operations,"Directory Service,Lightweight Directory Access Protocol (LDAP),Backup,",4.7,22160.0,Coursera,,
Artificial Intelligence in Marketing,Business,Marketing,"Business Model,Digital Marketing,Network Effects,Marketing Strategy,Customer Engagement,",4.5,102.0,Coursera,,
Project Execution: Running the Project,Business,Leadership and Management,"Quality Management,Strategic Thinking,Project Execution,Risk Management,Project Management,",4.8,5584.0,Coursera,,
Excel Basics for Data Analysis,Data Science,Data Analysis,"Data Science,Spreadsheet,Microsoft Excel,Data Analysis,Pivot Table,",4.8,5413.0,Coursera,,
AWS Cloud Practitioner Essentials,Information Technology,Cloud Computing,"Cloud Computing Security,AWS cloud,cloud networking,Cloud Computing,Migration and Innovation,",4.8,1279.0,Coursera,,
Share Data Through the Art of Visualization,Data Science,Data Analysis,"Data Analysis,Tableau Software,Data Visualization (DataViz),Presentation,",4.6,6342.0,Coursera,,
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,Business,Business Essentials,"Game Theory,Negotiation,Collaboration,Principled Negotiation,",4.9,4548.0,Coursera,,
Introduction to Cloud Computing,Information Technology,Cloud Computing,"Cloud Native,Devops,Iaas PaaS Saas,Hybrid Multicloud,Cloud Computing,",4.7,3538.0,Coursera,,
Introduction to Machine Learning in Production,Data Science,Machine Learning,"Human-level Performance (HLP),Concept Drift,Model baseline,Project Scoping and Design,ML Deployment Challenges,",4.8,2377.0,Coursera,,
The Strategy of Content Marketing,Business,Marketing,"Management,Content Marketing,Copywriting,Writing,",4.5,3974.0,Coursera,,
"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",Computer Science,Software Development,"Computer Vision,Tensorflow,Machine Learning,",4.8,18364.0,Coursera,,
Connected Leadership,Personal Development,Personal Development,"Emotional Intelligence,Team Building,Systems Thinking,Leadership And Management,Team Management,",4.7,66.0,Coursera,,
Management of Fashion and Luxury Companies,Business,Leadership and Management,"Strategic Management,Business Model,Luxury Goods,Brand Management,",4.7,5392.0,Coursera,,
Child Nutrition and Cooking,Health,Nutrition,"Nutrition,Organic Food,Food Safety,Food Science,",4.8,9652.0,Coursera,,
Data Analysis with R Programming,Data Science,Data Analysis,"R Programming,Data Analysis,Data Visualization (DataViz),R Markdown,Rstudio,",4.8,7066.0,Coursera,,
Learning How to Learn: Powerful mental tools to help you master tough subjects,Personal Development,Personal Development,"Test Preparation,Learning To Learn,Pomodoro Technique,Meta Learning,",4.8,86413.0,Coursera,,
Overcoming Dyslexia,Health,Research,"Dyslexia,Education,READING,Law,Learning,",4.8,196.0,Coursera,,
Viral Marketing and How to Craft Contagious Content,Business,Marketing,"Social Network,Viral Marketing,Marketing,Marketing Strategy,",4.8,4982.0,Coursera,,
Convolutional Neural Networks,Data Science,Machine Learning,"Deep Learning,Facial Recognition System,Convolutional Neural Network,Tensorflow,Object Detection and Segmentation,",4.9,41376.0,Coursera,,
SQL: A Practical Introduction for Querying Databases,Data Science,Data Analysis,"Create, Read, Update And Delete,Data Analysis,MySQL,Relational Database Management System (RDBMS),SQL,",4.7,38.0,Coursera,,
Reducing Gun Violence in America: Evidence for Change,Health,Public Health,"Gun Violence Epidemiology,Community Change,Public Health Interventions,American Law & Policy,",4.7,241.0,Coursera,,
Structuring Machine Learning Projects,Data Science,Data Analysis,"Deep Learning,Inductive Transfer,Machine Learning,Multi-Task Learning,Decision-Making,",4.8,49034.0,Coursera,,
IT Security: Defense against the digital dark arts,Information Technology,Security,"Cybersecurity,Wireless Security,Cryptography,Network Security,",4.8,19135.0,Coursera,,
Build Wireframes and Low-Fidelity Prototypes,Computer Science,Design and Product,"User Experience (UX),UX Research,Wireframe,Prototype,User Experience Design (UXD),",4.9,6275.0,Coursera,,
First Step Korean,Language Learning,Other Languages,"Grammar,Korean Language,Speech,Writing,",4.9,46904.0,Coursera,,
Human Resources Analytics,Business,Leadership and Management,"Data Analysis,HR Lifecycle,Strategic Mindset,Human Resources Best Practices,",4.6,1140.0,Coursera,,
Fundamentals of Quantitative Modeling,Business,Business Essentials,"Modeling,Linear Regression,Probabilistic Models,Regression Analysis,",4.6,8422.0,Coursera,,
Understanding the Brain: The Neurobiology of Everyday Life,Health,Basic Science,"Brain,Neurological Disorders,Neurobiology,Neurology,",4.9,2590.0,Coursera,,
ITIL 4 Exam Preparation,Information Technology,Support and Operations,"ITIL 4 Foundation topics,ITIL Terminogy,",4.7,805.0,Coursera,,
Introduction to User Experience Design,Computer Science,Design and Product,"Usability,User Experience (UX),User Experience Design (UXD),User Interface,",4.5,7610.0,Coursera,,
Introduction to Social Media Marketing,Business,Marketing,"Social Media Marketing,Marketing,Digital Marketing,Social Media Marketing Strategy,",4.8,11022.0,Coursera,,
Medical Neuroscience,Health,Research,"Brain,Neurological Disorders,Neurobiology,Neurology,",4.9,2589.0,Coursera,,
Databases and SQL for Data Science with Python,Data Science,Data Analysis,"Cloud Databases,Python Programming,Jupyter notebooks,Relational Database Management System (RDBMS),SQL,",4.6,17406.0,Coursera,,
Data Science Methodology,Data Science,Data Analysis,"Data Science,Methodology,CRISP-DM,Data Analysis,Data Mining,",4.6,18923.0,Coursera,,
Excel Skills for Business: Essentials,Business,Business Essentials,"Graphs,Spreadsheet,Microsoft Excel,Chart,",4.9,46077.0,Coursera,,
Machine Learning with Python,Data Science,Machine Learning,"SciPy and scikit-learn,Machine Learning,regression,classification,Hierarchical Clustering,",4.7,13939.0,Coursera,,
Sequence Models,Data Science,Machine Learning,"Natural Language Processing,Long Short Term Memory (LSTM),Gated Recurrent Unit (GRU),Recurrent Neural Network,Attention Models,",4.8,29226.0,Coursera,,
Global Diplomacy – Diplomacy in the Modern World,Social Sciences,Governance and Society,"Policy Analysis,Art,History,International Relations,",4.7,4348.0,Coursera,,
Introduction to Financial Accounting,Business,Business Essentials,"Financial Accounting,Accounting,Financial Statement,Balance Sheet,",4.7,7744.0,Coursera,,
Introduction to Front-End Development,Computer Science,Mobile and Web Development,"Web Development Tools,User Interface,Front-End Web Development,HTML and CSS,Responsive Web Design,",4.8,5705.0,Coursera,,
Principles of Management,Business,Leadership and Management,"Coaching,strategy,Leadership And Management,Business Communication,Team Management,",4.8,112.0,Coursera,,
Food & Beverage Management,Business,Leadership and Management,"Promotion And Marketing Communications,Food Marketing,Marketing,Brand Management,",4.8,4166.0,Coursera,,
Google Data Analytics Capstone: Complete a Case Study,Data Science,Data Analysis,"Job portfolio,Data Cleansing,Data Analysis,Data Visualization (DataViz),case study,",4.8,9946.0,Coursera,,
From Likes to Leads: Interact with Customers Online,Business,Marketing,"Social Listening,Social Media Bidding,Customer Engagement,Social Media Analytics,Social Media Branding,",4.8,1356.0,Coursera,,
Python Project for Data Science,Data Science,Data Analysis,"Data Science,Python Programming,Data Analysis,Pandas,Jupyter notebooks,",4.5,3071.0,Coursera,,
Cryptography I,Computer Science,Computer Security and Networks,"Cryptography,Cryptographic Attacks,Public-Key Cryptography,Symmetric-Key Algorithm,",4.8,4084.0,Coursera,,
An Introduction to American Law,Social Sciences,Law,"American Law,Common Law,Law,Constitution,",4.8,4512.0,Coursera,,
Marketing Analytics,Business,Marketing,"Marketing Experiments,Customer Lifetime Value,Regression Analysis,Marketing Analytics,Brand Equity,",4.7,6259.0,Coursera,,
Introductory Human Physiology,Health,Basic Science,"Cardiovascular understanding,Biology,Organ Systems,Medicine,Metabolic Pathways,",4.8,4601.0,Coursera,,
International Women's Health and Human Rights,Health,Public Health,"Health Education,Reproductive Health,Community Health,Sexually Transmitted Infections,",4.9,1414.0,Coursera,,
Machine Learning Foundations for Product Managers,Data Science,Machine Learning,"Data Science,Artificial Neural Network,Machine Learning,Predictive Analytics,Modeling,",4.6,152.0,Coursera,,
Introduction to Psychology,Health,Psychology,"Psychological Issues,Psychology,Social Psychology,Mental Illness,",4.9,4813.0,Coursera,,
Capstone: Applying Project Management in the Real World,Business,Leadership and Management,"Quality Management,Stakeholder Management,Problem Solving,Effective Communication,Project Management,",4.8,5333.0,Coursera,,
Write Professional Emails in English,Language Learning,Learning English,"Professional,Email Writing,Communication,Writing,",4.8,16270.0,Coursera,,
Introduction to Marketing,Business,Marketing,"Positioning (Marketing),Marketing,Marketing Strategy,Customer Satisfaction,",4.8,12193.0,Coursera,,
Narrative Economics,Social Sciences,Economics,"Economics,History,Storytelling,Financial Markets,Research Methods,",4.8,94.0,Coursera,,
Data Analysis with Python,Data Science,Data Analysis,"Predictive Modelling,Python Programming,Data Analysis,Data Visualization (DataViz),Model Selection,",4.7,16505.0,Coursera,,
Gamification,Computer Science,Design and Product,"Psychology,Marketing,Game Design,Gamification,",4.8,2381.0,Coursera,,
Digital Product Management: Modern Fundamentals,Business,Leadership and Management,"Product/Market Fit,Product Management,Design Thinking,Innovation Pipeline,Lean Startup,",4.7,4845.0,Coursera,,
The Path to Insights: Data Models and Pipelines,Data Science,Data Analysis,"Data Management,Google Dataflow/Google BigQuery,Extraction, Transformation And Loading (ETL),Database Optimization,Data transformation,",4.8,52.0,Coursera,,
Learn to Program: The Fundamentals,Computer Science,Software Development,"Python Syntax And Semantics,Computer Programming,Python Programming,Idle (Python),",4.7,6025.0,Coursera,,
